"News management", "News management"
"New entry", "New entry"
"News information", "News information"
"Edit news entry '%s'", "Edit news entry '%s'"
"Add news entry", "Add news entry"
"Title", "Title"
"Article", "Article"
"Content", "Content"
"Shorten", "Shorten"
"Use shorten", "Use shorten"
"Use shorten s", "Use shorten"
"Shorten article", "Shorten article"
"URL", "URL address"
"Is published", "Is published"
"Is published s", "Is published"
"Created", "Created"
"Manage news", "Manage news"
"Add news entry", "Add news entry"
"News management", "News management"
"Yanws settings", "Yanws settings"
"Sidebar widget", "Sidebar widget"
"News feed", "News feed"
"Titles", "Titles"
"Feed title", "Feed title"
"Widget title", "Widget title"
"Show sidebar widget", "Show sidebar widget"
"Save html tags in articles", "Save html tags in articles"
"Force truncate articles", "Force truncate articles"
"Force truncate news entries, even if there's a manually written shorten version.", "Force truncate news entries, even if there's a manually written shorten version."
